SMILES,"Ki (nM)"
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,37.6
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,157
Nc1nc(NC2CCCC2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,8.3
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,201
CC(O)CNc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,5
OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc5ccccc45)ncnc32)[C@H](O)[C@@H]1O,24
CCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)[nH]c2n(CC)c1=O,34.9
Nc1nc(S(=O)(=O)c2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,2600
OC[C@H]1OC(n2cnc3c(NC4CCCCC4)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,54
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,27.9
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,335
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCC)c1=O,58
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCC)c1=O,175
CCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,32.5
C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,756
C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,1660
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,7.67
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,200
OC[C@H]1OC(n2cnc3c(NC4CC4)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,68
O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,305
CCCn1c(=O)n2nc(-c3ccco3)nc2c2cc(Cl)ccc21,1850
CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,142
OC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,120
CC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,52.2
CC(C)(C)OC(=O)NCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,91.3
O=C(O)COc1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,679
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(O)cc4)cc3)[nH]c2n(CCC)c1=O,5.88
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]c2n(CCC)c1=O,7.46
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]c2n(CCC)c1=O,73.5
O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,75
