SMILES,"Ki (nM)"
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,548
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,112
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,4450
CCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)[nH]c2n(CC)c1=O,71.1
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,434
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,431
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCC)c1=O,2200
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCC)c1=O,595
CCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,37.6
C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,4290
C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,2370
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,143
CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,57
O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,52
CCCn1c(=O)n2nc(-c3ccco3)nc2c2cc(Cl)ccc21,6960
CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,42
CC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,36.3
CC(C)(C)OC(=O)NCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,135
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(O)cc4)cc3)[nH]c2n(CCC)c1=O,63.3
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]c2n(CCC)c1=O,221
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]c2n(CCC)c1=O,1640
O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,60
CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,38
Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,423
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)[nH]c2n(CCC)c1=O,917
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)[nH]c2n(CCC)c1=O,238
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(CC(=O)OCC)CC(=O)OCC)cc3)[nH]c2n(CCC)c1=O,999
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)[nH]c2n(CCC)c1=O,683
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)[nH]c2n(CCC)c1=O,39
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,406
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,223
O=C(Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12)c1ccccc1,273
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4cccc(C(C)=O)c4)cc3)[nH]c2n(CCC)c1=O,949
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4cccc(C(C)=O)c4)cc3)[nH]c2n(CCC)c1=O,58.9
O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,45
Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,381
NCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,14.4
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)O)cc3)[nH]c2n(CCC)c1=O,800
CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)O)cc3)[nH]c2n(CCC)c1=O,190
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]c2n(CCC)c1=O,45.6
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]c2n(CCC)c1=O,25.8
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)[nH]c2n(CCC)c1=O,988
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)[nH]c2n(CCC)c1=O,16.6
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,10
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,1518
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,1180
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,70
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)OC)cc4)cc3)[nH]c2n(CCC)c1=O,541
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)OC)cc4)cc3)[nH]c2n(CCC)c1=O,3100
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,63
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,18.4
O=C(Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12)c1cccc(I)c1,310
CC(C)(C)C(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,88.8
Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,0.31
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)[nH]c2n(CCC)c1=O,995
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)[nH]c2n(CCC)c1=O,187
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,152
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,5140
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,126
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,1970
CC(C)(C)OC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,92
O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,800
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCc4ccccc4)cc3)[nH]c2n(CCC)c1=O,25.9
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCc4ccccc4)cc3)[nH]c2n(CCC)c1=O,23.8
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(C)c4ccccc4)cc3)[nH]c2n(CCC)c1=O,497
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)[nH]c2n(CCC)c1=O,220
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)[nH]c2n(CCC)c1=O,39
O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,60
CCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,106
CCCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCCC)c1=O,874
CCCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCCC)c1=O,2540
CCCn1c(=O)c2nc(-c3ccc(OCC(N)=O)cc3)[nH]c2n(CCC)c1=O,76.3
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)ON4C(=O)CCC4=O)cc3)[nH]c2n(CCC)c1=O,127
CCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,48.8
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,1.7
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,2750
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,642
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)NC)cc4)cc3)[nH]c2n(CCC)c1=O,98.1
CCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(CC(=O)NCCN)cc4)cc3)[nH]c2n(CC)c1=O,1370
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,612
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,503
O=C(COc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,40
O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,55
Oc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,4380
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)[nH]c2n(CCC)c1=O,126
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,601
CC(c1ccccc1)N1C(=O)C2(CCCC2)c2c(O)ncnc21,88400
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(N)c12,30000
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(O)c12,30000
Cc1nc2nc(-c3ccccc3)[nH]c(N[C@H](C)c3ccccc3)c-2c1C,30000
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)[C@H](O)[C@@H]2O,1660
Cc1ccc([C@H](C)n2c3ccccc3c3c(N)nc(-c4ccccc4)nc32)cc1,30000
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,3390
O=C1Nc2ncnc(O)c2C12CCCC2,346000
CCNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(N)ncnc31)[C@H](O)[C@@H]2O,100
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)ncnc31)[C@H](O)[C@@H]2O,6800
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(N)c12,3710
C[C@H](c1ccccc1)N1C(=O)C2(CCCC2)C2=C1N=C(c1ccccc1)NC2N,30000
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(O)c12,30000
C[C@@H](Cn1c2ccccc2c2c(N)nc(-c3ccccc3)nc21)c1ccccc1,30000
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(O)c12,30000
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,548
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3cccc(Cl)c3)nc(N)c12,16300
CC(c1ccccc1)n1c2ccccc2c2c(N)ncnc21,27700
C[C@H](c1ccccc1)n1c2ccccc2c2c(N)nc(-c3ccccc3)nc21,6200
C[C@@H](c1ccccc1)n1c2ccccc2c2c(N)nc(-c3ccccc3)nc21,30000
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccc(Cl)c(Cl)c3)nc(N)c12,30000
Cc1c(C)n([C@H](C)c2ccccc2)c2ncnc(N[C@H](C)c3ccccc3)c12,30000
CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21,600
C[C@@H](c1ccccc1)n1c2ccccc2c2c(O)nc(-c3ccccc3)nc21,30000
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccccc3Cl)nc(N)c12,30000
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3cccc(Cl)c3)nc(N)c12,30000
Cc1c(C)n([C@@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(O)c12,30000
C[C@@H](Cc1ccccc1)n1c2ccccc2c2c(N)nc(-c3ccccc3)nc21,30000
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)[C@H](O)[C@@H]2O,732
CCCCC#Cc1nc2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,100000
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccccc3)nc(N)c12,81000
Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,22500
OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)C[C@@H]2O,25400
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,20
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccccc3Cl)nc(N)c12,5200
Nc1nc(-c2ccccc2)nc2c1c1ccccc1n2-c1ccccc1,8300
C[C@H](c1ccccc1)n1c2ccccc2c2c(O)nc(-c3ccccc3)nc21,30000
Nc1ncnc2c1nc(C#Cc1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,100000
Cc1nc2nc(-c3ccccc3)[nH]c(N[C@@H](C)c3ccccc3)c-2c1C,30000
C[C@H](c1ccccc1)N1C(=O)C2(CCCC2)c2c(O)nc(-c3ccccc3)nc21,30000
Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,1910
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccc(Cl)c(Cl)c3)nc(N)c12,30000
Cc1ccc([C@@H](C)n2c3ccccc3c3c(N)nc(-c4ccccc4)nc32)cc1,21400
COc1ccc(-c2nc(N)c3c(C)c(C)n([C@H](C)c4ccccc4)c3n2)cc1,10000
O=C1N(c2ccccc2)c2ncnc(O)c2C12CCCC2,17200
Cc1c(C)n([C@@H](C)c2ccccc2)c2ncnc(N[C@@H](C)c3ccccc3)c12,30000
Cc1c(C)n([C@H](C)c2ccccc2)c2nc(-c3ccc(Cl)cc3)nc(N)c12,30000
Nc1ncnc2c1nc(/C=C/C(=O)c1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,46600
COc1cccc(-c2nc(N)c3c(C)c(C)n([C@H](C)c4ccccc4)c3n2)c1,10000
COc1ccccc1NC(=O)Nc1nc(-c2cccnc2)nc2ccccc12,10000
O=C(Nc1nc(-c2ccccn2)cs1)C1CCCC1,1300
COc1ccc(C(=O)Nc2nc(-c3ccccc3)ns2)cc1,2300
COC1CCC(C(=O)Nc2nc(-c3ccccc3)ns2)CC1,1900
NC(=O)CCSc1nc(N)c2cnn(-c3ccccc3)c2n1,101
CC(Sc1nc(SC(C)C(N)=O)c2cnn(-c3ccccc3)c2n1)C(N)=O,146
O=C(Nc1nc(-c2ccccc2)ns1)c1ccccc1,4400
O=C(Nc1nc(-c2ccccn2)cs1)c1ccccc1,8700
O=C(Nc1ccccc1)Nc1nc(-c2ccccn2)cs1,920
CCOC(=O)C1=C(C)NC(C2CCCC2)=C(C(=O)OCc2ccccc2)C1C#Cc1ccccc1,7160
CCOC(=O)c1c(C)nc(C2CCCC2)c(C(=O)OCc2ccccc2)c1C#Cc1ccccc1,22900
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,470
O=C(O)COc1ccc(C(=O)Nc2nc(-c3ccccc3)ns2)cc1,15000
COc1ccc(C(=O)Nc2nc(-c3ccccc3)cs2)cc1,1900
COc1ccc(C(=O)Nc2nc(-c3ccccn3)cc3ccccc23)cc1,10000
CCCO/C(O)=C1\C(C)=NC(c2ccccc2)=C(C(=O)OCC)C1C,28900
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,63
O=C(Nc1nc(-c2ccccc2)ns1)c1ccc(O)cc1,570
CCOC(=O)c1c(C)nc(-c2ccccc2)c(C(=O)OCc2ccccc2)c1C#Cc1ccccc1,43000
CCNC(=O)CCSc1nc(N)c2cnn(-c3ccccc3)c2n1,1280
CCOC(=O)c1c(C)nc(C2CCC2)c(C(=O)OCc2ccccc2)c1C#Cc1ccccc1,27600
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,56
CCO/C(O)=C1\C(C)=NC(c2ccccc2)=C(C(=O)OCc2ccc([N+](=O)[O-])cc2)C1C#Cc1ccccc1,100000
CCOC(=O)C1=C(c2ccccc2)N=C(C)/C(=C(\O)OCC)C1C,35900
NC(=O)CSc1nc(N)c2cnn(-c3ccccc3)c2n1,44.9
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(N)c(I)c4)ncnc32)[C@H](O)[C@@H]1O,197
COC1CCC(C(=O)Nc2nc(-c3ccccc3)ns2)CC1,2000
O=C(Nc1nc(-c2ccccn2)cs1)c1cccc(Cl)c1,1300
CCOC(=O)c1c(C)nc(-c2ccccc2)c(C(=O)OCC)c1/C=C/c1ccccc1,2400
CCOC(=O)C1=C(c2ccccc2)N=C(C)/C(=C(/O)OCC)C1CC,21800
CCNC(=O)CSc1nc(N)c2cnn(-c3ccccc3)c2n1,131
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,3.3
CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCCO,8760
Cn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,63
CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2c1=O,11800
CCCOC(=O)c1c(-c2ccccc2)nc(CCO)c(C(=O)SCC)c1CCC,29100
CCOC(=O)c1c(CCN2C(=O)c3ccccc3C2=O)c(C(=O)SCC)c(CC)[n+](C)c1-c1ccccc1.[I-],2150
CCCn1c(=O)[nH]c2[nH]c(-c3ccccc3)nc2c1=O,1900
CCOC(=O)c1c(CC)c(C(=O)SCC)c(CC)[n+](C)c1-c1ccccc1.[I-],11600
CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,54
CCCc1c2c(nc(-c3ccccc3)c1C(=O)OCC)CCSC2=O,43600
CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,21
