SMILES,"Ki (nM)"
Nc1ccc(S(N)(=O)=O)cc1I,6000
Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,6
NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1,13
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccc2)cc1,125
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2c[nH]cn2)cc1,92
NS(=O)(=O)c1ccc(N/C(S)=N\c2ccccc2C(=O)O)cc1,55
NS(=O)(=O)c1ccc(N/C(S)=N/C(CCC(=O)O)C(=O)O)cc1,38
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]c3ccccc23)C(=O)O)cc1,47
CC(O)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,30
CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,54
NS(=O)(=O)c1ccc(NC(=S)N2CCC[C@H]2C(=O)NCC(=O)NCC(=O)O)cc1,20
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,50000
NC(=O)CC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,27
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccc(O)cc2)C(=O)O)cc1,26
CCC(C)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,22
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,54000
NS(=O)(=O)c1ccc(N/C(S)=N\Cc2ccccn2)cc1,135
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccccc2)C(=O)O)cc1,30
NS(=O)(=O)c1ccc(N/C(S)=N\c2cccc(C(=O)O)c2)cc1,50
CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O,23
NS(=O)(=O)c1ccc(N/C(S)=N/C(CC(=O)O)C(=O)O)cc1,35
Nc1ccc(S(N)(=O)=O)cc1Cl,9800
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,1200
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,50
NCCc1ccc(S(N)(=O)=O)cc1,21000
NS(=O)(=O)c1ccc(N/C(S)=N/C(CO)C(=O)O)cc1,28
NS(=O)(=O)c1ccc(NC(=S)N2CCCC2C(=O)O)cc1,110
CC(=O)Nc1nnc(S(N)(=O)=O)s1,250
