SMILES,"Ki (nM)"
Nc1ccc(S(N)(=O)=O)cc1I,70
Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,2
NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1,1
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccc2)cc1,42
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2c[nH]cn2)cc1,33
NS(=O)(=O)c1ccc(N/C(S)=N\c2ccccc2C(=O)O)cc1,13
NS(=O)(=O)c1ccc(N/C(S)=N/C(CCC(=O)O)C(=O)O)cc1,10
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]c3ccccc23)C(=O)O)cc1,11
CC(O)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,4
CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,12
NS(=O)(=O)c1ccc(NC(=S)N2CCC[C@H]2C(=O)NCC(=O)NCC(=O)O)cc1,3
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,9
NC(=O)CC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,6
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccc(O)cc2)C(=O)O)cc1,5
CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,34.4
CCC(C)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,4
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,43
NS(=O)(=O)c1ccc(N/C(S)=N\Cc2ccccn2)cc1,45
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccccc2)C(=O)O)cc1,6
NS(=O)(=O)c1ccc(N/C(S)=N\c2cccc(C(=O)O)c2)cc1,18
CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O,4
Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CN3CCOCC3)cc2)cs1,1.43
NS(=O)(=O)c1ccc(N/C(S)=N/C(CC(=O)O)C(=O)O)cc1,8
Nc1ccc(S(N)(=O)=O)cc1Cl,110
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,38
CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl,2.34
CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl,4.9
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,14
NCCc1ccc(S(N)(=O)=O)cc1,160
NS(=O)(=O)c1ccc(N/C(S)=N/C(CO)C(=O)O)cc1,3
NS(=O)(=O)c1ccc(NC(=S)N2CCCC2C(=O)O)cc1,25
CC(=O)Nc1nnc(S(N)(=O)=O)s1,12
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,9
CC(=O)Nc1nnc(S(N)(=O)=O)s1,12
NS(=O)(=O)c1ccc(N/C(S)=N\CCC(=O)O)cc1,11
