SMILES,"Ki (nM)"
CN1CCc2cc(O)c(Cl)cc2CC1,265
CN1CCc2cc(Cl)c(O)cc2C(C2CCCCCC2)C1,1190
c1ccc2c(c1)CCC2CN1CCN(c2cccc3c2OCCO3)CC1,41.69
O=S1(=O)c2ccccc2CCC12CCN(Cc1ccccc1)CC2,10000
CN1CCc2cc(Cl)c(O)cc2C(C2CCCCC2)C1,1780
COc1ccccc1N1CCN(Cc2ccn(-c3ccccc3)c2)CC1,0.7
c1ccc(N2CCN(Cc3ccn(-c4ccccc4)c3)CC2)cc1,14
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.067
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,190
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.196
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,260
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.05
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,188
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.09
NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,211
CN1CCc2cc(Cl)c(O)cc2C(C2=CCCCC2)C1,1600
CC1Cc2cccc3c2N1C(=O)C(N1CCN(Cc2ccc(Cl)cc2)CC1)CC3,139
CC1(C)Cc2cccc3c2N1C(=O)C(N1CCN(Cc2ccc(Cl)cc2)CC1)CC3,201
Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1,11
CN1CCc2cc(Cl)c(O)cc2C(N2CCCCC2)C1,10000
Cc1ccc(CN2CCN(C3CCc4cccc5c4N(CC5)C3=O)CC2)cc1,209
O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,512
Oc1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,4.2
Oc1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,45.8
Oc1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,87.3
O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1-c1ccccc1C2=O,777
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1-2,262
O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1Cc1ccccc1-2,1680
CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2ccccc21,1000
COc1ccc2c(c1)CCC=C2CCCN1CCN(c2ccccc2OC)CC1,22.39
COc1cccc2c1C(CCCN1CCN(c3ccccn3)CC1)=CCC2,29.51
CCCC1CN(C)CCc2cc(Cl)c(O)cc21,1160
CCOC1CN(C)CCc2cc(Cl)c(O)cc21,10000
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1C2,217
O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1,84.8
O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1,403
O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1,540
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,113
Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccc(Cl)c(Cl)c2)c2ccc(F)cc2)cc1,625
c1ccc2c(c1)CC2CCCCN1CCN(c2cccc3c2OCCO3)CC1,19.5
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.071
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,196
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.122
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,246
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.031
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,168
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,0.064
NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,202
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,3981.07
CN1CCc2cc(Cl)c(O)cc2C(C2=CCCC2)C1,1540
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,89
Clc1cccc2c1CC2CCN1CCN(c2cccc3c2OCCO3)CC1,60.26
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,873
CCc1c(C)[nH]c2c1C(=O)C(CCN1CCN(c3ccccc3OC)CC1)CC2,28.18
CCSC1CN(C)CCc2cc(Cl)c(O)cc21,2710
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN(C)CC1,794.33
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,33.11
O=C1C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2cccc3c2N1CC3,116
O=C1C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2cccc3c2N1CC3,62
COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,9.55
c1ccc2c(c1)CC2CCN1CCN(c2cccc3c2OCCO3)CC1,48.98
CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2,1740
O=C(NCCCN1CCN(c2ccccc2)CC1)c1ccc2c(c1)Cc1ccccc1-2,825
O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,2570
O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,0.56
O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,8.1
O=C1Cc2c(cccc2N2CCN(Cc3ccccc3)CC2)N1,8
Cc1ccc(CN2CCN(C3CCc4cccc5c4N(C3=O)C(C)(C)C5)CC2)cc1,165
OC1CCc2c(c3ccccc3n2CCCN2CCN(c3ccccc3)CC2)C1,180
COc1cccc2c1CC[C@H]1CN(CCn3c(=O)[nH]c4c(sc5cccnc54)c3=O)C[C@@H]21,19.7
CN1CCc2cc(Cl)c(O)cc2C(C2C=CC=CC=C2)C1,1800
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,41.69
CCc1c(C)[nH]c2c1C(=O)C(CCN1CCOCC1)CC2,588.84
COc1cc(C)ccc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,952
COc1cc2c(cc1OC)C(CCN1CCN(c3cccc4c3OCCO4)CC1)CC2,131.83
c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,9.7
c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,107
c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1,257.5
C=CCC1CN(C)CCc2cc(Cl)c(O)cc21,284
CN1CCc2cc(Cl)c(O)cc2C(C2CCCC2)C1,2050
COc1ccc(Cl)cc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,220
OC1(c2cccc(C(F)(F)F)c2)CCN(Cc2ccn(-c3ccccc3)c2)CC1,237
Fc1ccc(C(OCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)c2ccc(F)cc2)cc1,927
C#CCC1CN(C)CCc2cc(Cl)c(O)cc21,626
CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)Cc2ccccc21,21
COc1ccccc1N1CCN(Cc2ccc(-c3ccccc3)n2C)CC1,0.8
