SMILES,"Ki (nM)"
Cc1cc(C)cc(NC(=O)NCc2ccc(Cc3c[nH]cn3)cc2)c1,9
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,90
O=C(CCCOCCCc1c[nH]cn1)c1ccc(F)cc1.O=C(O)C(=O)O,14
O=C(O)/C=C\C(=O)O.c1nc(COCCC2CCCCC2)c[nH]1,500
O=C(Nc1cc(Cl)cc(Cl)c1)OCc1ccc(Cc2c[nH]cn2)cc1,5
CN(Cc1ccc(Cc2c[nH]cn2)cc1)C(=O)N(C)c1cc(Cl)cc(Cl)c1,370
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1ccccc1Cl,32
COc1cccc(NC(=O)NCc2ccc(Cc3c[nH]cn3)cc2)c1,18
C=CCCCOCCCc1c[nH]cn1.O=C(O)C(=O)O,27
CCOCCCc1c[nH]cn1.O=C(O)C(=O)O,580
CCOCCCc1c[nH]cn1.O=C(O)C(=O)O,630.96
CC(=O)CCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,143
O=C(Nc1ccccc1)OCc1ccc(Cc2c[nH]cn2)cc1,37
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1cccc(C(F)(F)F)c1,16
O=C(NCCc1ccccc1Cl)NCc1ccc(Cc2c[nH]cn2)cc1,430
CC(C)(C)OCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,120
CC(C)(C)OCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,125.89
CCCOCCCc1c[nH]cn1.O=C(O)C(=O)O,230
CCCOCCCc1c[nH]cn1.O=C(O)C(=O)O,251.19
O=C(COCCCc1c[nH]cn1)c1ccccc1.O=C(O)/C=C\C(=O)O,500
CCCCCCCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,
O/N=C(/CCCOCCCc1c[nH]cn1)c1ccc(F)cc1.O=C(O)/C=C\C(=O)O,
CC(C)(C)OCCc1c[nH]cn1.O=C(O)C(=O)O,500
O=C(Nc1cccc(Cl)c1)OCc1ccc(Cc2c[nH]cn2)cc1,7
O=C(O)/C=C\C(=O)O.c1nc(COCC2CC3CCC2C3)c[nH]1,500
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1cc(Cl)cc(Cl)c1,4
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1cc(Cl)nc(Cl)c1,3
O=C(O)/C=C\C(=O)O.c1nc(CCCOCCC2CCCCC2)c[nH]1,11
O=C(O)/C=C\C(=O)O.c1nc(CCCOCCC2CCCCC2)c[nH]1,10
O=C(Nc1ccc(Cl)cc1)OCc1ccc(Cc2c[nH]cn2)cc1,25
O=C(COCCCc1c[nH]cn1)c1cccc([N+](=O)[O-])c1.O=C(O)/C=C\C(=O)O,500
N#Cc1cccc(NC(=O)NCc2ccc(Cc3c[nH]cn3)cc2)c1,5
O=C(O)/C=C\C(=O)O.c1nc(CCCOCCCC2CCCCC2)c[nH]1,20
O=C(O)/C=C\C(=O)O.c1nc(CCCOCCCC2CCCCC2)c[nH]1,19.95
O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,0.49
c1ccc(C(OCCCc2c[nH]cn2)(c2ccccc2)c2ccccc2)cc1,500
O=C(O)/C=C\C(=O)O.c1ccc(CC(COCCCc2c[nH]cn2)c2ccccc2)cc1,184
CCCCCCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,16
CCCCCCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,15.85
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1cccc(Cl)c1,6
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,22
O=C(O)/C=C\C(=O)O.c1nc(COCCCC2CCCCC2)c[nH]1,500
O=C(O)/C=C\C(=O)O.c1nc(COCCCC2CCCCC2)c[nH]1,1.99526231496888e+15
C=CCOCCCc1c[nH]cn1.O=C(O)C(=O)O,200
C=CCOCCCc1c[nH]cn1.O=C(O)C(=O)O,199.53
C#CCOCCCc1c[nH]cn1.O=C(O)C(=O)O,190
C#CCOCCCc1c[nH]cn1.O=C(O)C(=O)O,199.53
C#CCCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,38
C#CCCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,39.81
COCCCc1c[nH]cn1.O=C(O)C(=O)O,290
COCCCc1c[nH]cn1.O=C(O)C(=O)O,316.23
COCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,400
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1ccc(Cl)cc1,21
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1cccnc1,270
N=C(NCc1ccc(Cl)cc1)c1ccc(Cc2c[nH]cn2)cc1,16
N#CCCOCCCc1c[nH]cn1.O=C(O)C(=O)O,674
O=C(NCc1ccc(Cc2c[nH]cn2)cc1)Nc1ccc(Cl)c(Cl)c1,7
CCCCCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,14
CCCCCCOCCCc1c[nH]cn1.O=C(O)/C=C\C(=O)O,12.59
