SMILES,"Ki (nM)"
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,44
CC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,10620
CCCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,1591
COCC(=O)N(c1cccnc1Cl)C1CCN(CCc2ccccc2)CC1,
O=C(c1ccoc1)N(c1cc(Cl)ncn1)C1CCN(CCc2ccccc2)CC1,100
C[C@H]1CN(C)CC[C@@]1(C)c1cccc(O)c1,80
COCC(=O)N(C1CCN(CCc2ccccc2)CC1)N1CCOCC1,100
O=C(c1ccco1)N(c1cnccn1)C1CCN(CCc2ccccc2)CC1,7.5
O=C(c1ccco1)N(c1nc2ccccc2s1)C1CCN(CCc2ccccc2)CC1,
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,27.7
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,34
O=C(CCC(=O)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,2.3
Cc1cccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)c1,
Cc1ccc(C(c2ccc(C)cc2)N2CC[C@H]2[C@H](N)c2cccc(Cl)c2)cc1,801
CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1599
O=C(CCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)NCC(=O)NCC(=O)NCC(=O)N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.6
COc1cccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)c1,
COc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,865
N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(F)cc1)c1ccc(F)cc1,2176
O=C(c1ccoc1)N(c1nc2ccccc2s1)C1CCN(CCc2ccccc2)CC1,
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,2.16
O=C(NC1CCN(CCc2ccccc2)CC1)c1ccco1,100
