SMILES,"Ki (nM)"
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,72
COc1cc2c(cc1OC)C(CCN1CCN(c3cccc4c3OCCO4)CC1)C2,3.162
c1ccc2c(c1)CCC2CN1CCN(c2cccc3c2OCCO3)CC1,1.738
Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1.O=C(O)/C=C/C(=O)O,8
c1ccc2c(c1)CC(CCCN1CCN(c3cccc4c3OCCO4)CC1)C2,1.259
c1ccc2c(c1)CCCCC2CCN1CCN(c2cccc3c2OCCO3)CC1,6.607
C1=C(CCN2CCN(c3cccc4c3OCCO4)CC2)c2ccccc2CCC1,3.162
COc1ccc(NC(=O)N2CCN(c3ccccc3)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,450
c1ccc2c(c1)CC2CCN1CCN(c2cccc3ccoc23)CC1,1.413
Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1,3
Cc1ccccc1N1CCN(C(=O)Oc2ccc(Cl)c(N3CCN(C)CC3)c2)CC1.O=C(O)/C=C/C(=O)O,1000
C1=C(CCN2CCN(c3cccc4c3OCCO4)CC2)c2ccccc2C1,0.7943
C1=C(CCN2CCN(c3cccc4c3OCCO4)CC2)Cc2ccccc21,0.537
c1ccc2c(c1)CCC2CCN1CCN(c2cccc3c2OCCO3)CC1,1.585
c1ccc2c(c1)CCCC2CCN1CCN(c2cccc3c2OCCO3)CC1,2.754
c1ccc2c(c1)CC2CCCN1CCN(c2cccc3c2OCCO3)CC1,0.4467
COc1ccc(NC(=O)N2CCN(c3ccc(C)cc3C)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,571
COc1ccc2c(c1)CCC=C2CCCN1CCN(c2ccccc2OC)CC1,1.778
COc1cccc2c1C(CCCN1CCN(c3ccccn3)CC1)=CCC2,1.259
Clc1cccc2c1CC2CCCN1CCN(c2cccc3c2OCCO3)CC1,3.715
c1ccc2c(c1)CC2CCCN1CCN(c2cccc3ccoc23)CC1,2.818
c1ccc2c(c1)CC(CCN1CCN(c3cccc4c3OCCO4)CC1)C2,0.6607
COc1ccc(NC(=O)N2CCN(c3c(C)cccc3C)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,393
c1ccc2c(c1)CC2CCCCN1CCN(c2cccc3c2OCCO3)CC1,1.288
Cc1ccccc1N1CCN(C(=O)COc2ccc(Cl)c(N3CCN(C)CC3)c2)CC1.O=C(O)/C=C/C(=O)O,1000
Clc1cccc2c1CC2CN1CCN(c2cccc3c2OCCO3)CC1,3.981
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,251.19
Clc1cccc2c1CC2CCN1CCN(c2cccc3c2OCCO3)CC1,2.239
c1cc2c(c(N3CCNCC3)c1)OCCO2,9.333
c1ccc2c(c1)CC2CN1CCN(c2cccc3c2OCCCO3)CC1,7.943
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN(C)CC1,501.19
COc1ccc(NC(=O)N2CCN(c3cccc4c3CCCC4)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,257
COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,1.318
c1ccc2c(c1)CC2CCN1CCN(c2cccc3c2OCCO3)CC1,0.5888
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,14.79
C1=C(CCN2CCN(c3cccc4c3OCCO4)CC2)c2ccccc2CC1,1.995
COc1cc2c(cc1OC)C(CCN1CCN(c3cccc4c3OCCO4)CC1)CC2,1.585
c1ccc2c(c1)CCC2CCCN1CCN(c2cccc3c2OCCO3)CC1,0.6166
c1ccc2c(c1)CC2CN1CCN(c2cccc3ccoc23)CC1,7.943
c1ccc2c(c1)CC2CN1CCN(c2cccc3c2OCCO3)CC1,1.778
COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,1.95
Cc1nc(-c2ccc(-c3ccc(C(=O)N4CCc5cc6c(cc54)C4(CCN(C)CC4)CO6)cc3)c(C)c2)no1,1000
COc1ccc(NC(=O)N2CCN(c3ccccc3OC)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,700
c1ccc2c(c1)CC(CN1CCN(c3cccc4c3OCCO4)CC1)C2,2.818
c1ccc2c(c1)CC2CCN1CCN(c2cccc3c2OCCCO3)CC1,1.148
COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,0.7079
COc1ccc(NC(=O)N2CCN(c3ccccc3C)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,390
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,398.11
COc1ccc(NCC(=O)N2CCN(c3ccccc3C)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,3000
Fc1cccc2c1CC2CN1CCN(c2cccc3c2OCCO3)CC1,1.778
COc1ccc2c(c1)C(CCN1CCN(c3cccc4c3OCCO4)CC1)C2,1.259
c1ccc2c(c1)CC2CCCN1CCN(c2cccc3c2OCCCO3)CC1,0.7943
COc1ccc(N2CCN(C(=O)Nc3ccc(OC)c(N4CCN(C)CC4)c3)CC2)cc1.O=C(O)/C=C/C(=O)O,1000
c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCO4)CC1)C2,1.778
COc1cccc(N2CCN(C(=O)Nc3ccc(OC)c(N4CCN(C)CC4)c3)CC2)c1.O=C(O)/C=C/C(=O)O,79
c1ccc2c(c1)CC(N1CCN(c3cccc4c3OCCCO4)CC1)C2,3.802
COc1ccccc1N1CCN(C[C@@H](C(=O)NC(C)(C)C)c2ccccc2)CC1,32.36
COc1ccc2[nH]cc(CCN)c2c1,3.2
CCCN1CCC[C@@H](c2cccc(OS(=O)(=O)c3ccc(C)cc3)c2)C1,1600
CCCN1CCC[C@@H](c2cccc(O)c2)C1,8000
CCCN1CCC[C@@H](c2cccc(NS(=O)(=O)C(F)(F)F)c2)C1,2000
CCCN1CCC[C@@H](c2cccc(NS(=O)(=O)C(F)(F)F)c2)C1,10000
CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1,2590
C=CCN1CC[C@@H]2c3cccc(OC)c3CC[C@@H]21,333
COc1cccc(C(=O)CCCN2CCN(c3ccc(Cl)cc3)CC2)c1,183
COc1cccc(CNCCN2CCN(c3ccc(Cl)cc3)CC2)c1,850
CCCN(CCC)[C@H]1CCCc2cccc(O)c2C1,300
C=CCN1CC[C@@H]2c3cccc(OC)c3CC[C@H]21,3.7
c1ccc2nc(N3CCNCC3)ccc2c1,1584.89
CCCN(CCC)CCc1c[nH]c2ccc(O)cc12,7.1
C=CCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21,18
N#Cc1cccc([C@@H]2CCCN(CC3CC3)C2)c1,6320
CCCN1CCC[C@@H](c2cccc(Br)c2)C1,800
C=CCN1CCC2c3cccc(C(N)=O)c3CCC21,1000
CN(C)CCCN1CCC[C@@H](c2cccc(C#N)c2)C1,7120
COc1cccc(C(=O)NCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,397
c1ccc(CN2CCN(c3nc4ncccc4n4cccc34)CC2)cc1,10000
CCCN1CCC[C@@H](c2cccc(N)c2)C1,5360
CCCN1CCC[C@@H](c2cccc(CC#N)c2)C1,3260
CCN1CCC[C@@H](c2cccc(C#N)c2)C1,10000
NCCc1c[nH]c2ccc(O)cc12,1.585
CCCN1CCC[C@@H](c2cccc(C(=O)OC)c2)C1,1600
CCc1sccc1N1CCC[C@@H](c2cccc(C#N)c2)C1,320
COc1cccc(C(=O)NCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,850
COc1cccc(C(=O)CCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,37
COc1ccc2c(c1)C(NCCN1CCN(c3ccc(Cl)cc3)CC1)CCC2,850
CCCN(CCC)CCc1c[nH]c2ccc(OC)cc12,4
Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,385
